Poll,Date,Sample,MoE,Democratic Party,Republican Party,Spread,Election Year
"FOX
                            NewsFOX
                            News",6/5 - 6/7,912 RV,3.0,48,41,Obama +7,2012
"Reuters/IpsosReuters/Ipsos
",6/3 - 6/6,1132 A,3.0,51,38,Obama +13,2012
"ABC
                            News/Wash PostABC
                            News/Wash Post",6/2 - 6/5,RV,3.5,46,49,Romney +3,2012
"QuinnipiacQuinnipiac
",5/31 - 6/6,1946 RV,2.2,47,41,Obama +6,2012
"PPP
                            (D)PPP (D)
",5/23 - 5/25,600 RV,4.0,49,42,Obama +7,2012
"Democracy
                            Corps (D)Democracy
                            Corps (D)",5/21 - 5/25,1000 LV,3.0,48,44,Obama +4,2012
"Politico/GWU/BattlegroundPolitico/GWU/Battleground
",5/8 - 5/12,1000 LV,3.1,52,40,Obama +12,2012
"Reuters/IpsosReuters/Ipsos
",5/5 - 5/9,600 A,--,51,38,Obama +13,2012
"PPP
                            (D)PPP
                            (D)",5/5 - 5/8,814 RV,3.4,47,42,Obama +5,2012
"Newsweek/Daily
                            BeastNewsweek/Daily
                            Beast",5/2 - 5/3,600 A,3.0,42,36,Obama +6,2012
"Newsweek/Daily
                            BeastNewsweek/Daily
                            Beast",4/30 - 5/1,600 A,3.0,44,44,Tie ,2012
"CNN/Opinion
                            ResearchCNN/Opinion
                            Research",4/29 - 5/1,964 RV,3.0,54,43,Obama +11,2012
"ABC
                            News/Wash PostABC
                            News/Wash Post",4/14 - 4/17,1001 A,3.5,49,45,Obama +4,2012
"McClatchy/MaristMcClatchy/Marist
",4/10 - 4/14,532 RV,4.5,46,45,Obama +1,2012
"Democracy
                            Corps (D)Democracy
                            Corps (D)",4/10 - 4/12,1000 LV,3.1,46,48,Romney +2,2012
"PPP
                            (D)PPP
                            (D)",4/7 - 4/10,532 RV,4.3,47,41,Obama +6,2012
"PPP
                            (D)PPP
                            (D)",3/10 - 3/13,642 RV,3.9,47,42,Obama +5,2012
"Rasmussen
                            ReportsRasmussen
                            Reports",3/6 - 3/9,2000 LV,2.0,45,40,Obama +5,2012
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",2/24 - 2/28,RV,--,49,40,Obama +9,2012
"Newsweek/Daily
                            BeastNewsweek/Daily
                            Beast",2/12 - 2/15,918 LV,3.5,49,47,Obama +2,2012
"PPP
                            (D)PPP (D)
",2/11 - 2/14,600 RV,4.0,46,41,Obama +5,2012
"FOX
                            NewsFOX
                            News",2/7 - 2/9,911 RV,3.0,48,41,Obama +7,2012
"PPP
                            (D)PPP
                            (D)",1/14 - 1/16,632 RV,3.9,48,43,Obama +5,2012
"Democracy
                            Corps (D)Democracy
                            Corps (D)",1/9 - 1/12,1000 LV,3.0,48,46,Obama +2,2012
"McClatchy/MaristMcClatchy/Marist
",1/6 - 1/10,827 RV,3.5,51,38,Obama +13,2012
"Rasmussen
                            ReportsRasmussen
                            Reports",1/3 - 1/6,2000 LV,--,42,44,Romney +2,2012
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",12/9 - 12/13,1000 A,3.1,47,40,Obama +7,2012
"McClatchy/MaristMcClatchy/Marist
",12/2 - 12/8,873 RV,3.5,44,46,Romney +2,2012
"PPP
                            (D)PPP
                            (D)",11/19 - 11/21,707 RV,3.7,47,46,Obama +1,2012
"QuinnipiacQuinnipiac
",11/8 - 11/15,2424 RV,2.0,44,45,Romney +1,2012
"CNN/Opinion
                            ResearchCNN/Opinion
                            Research",10/27 - 10/30,921 RV,3.0,45,50,Romney +5,2012
"FOX
                            NewsFOX News
",9/28 - 9/29,900 RV,3.0,41,40,Obama +1,2012
"PPP
                            (D)PPP
                            (D)",9/10 - 9/13,590 RV,4.0,46,43,Obama +3,2012
"PPP
                            (D)PPP
                            (D)",8/6 - 8/9,606 RV,4.0,45,42,Obama +3,2012
"PPP
                            (D)PPP
                            (D)",7/9 - 7/12,667 RV,3.8,43,46,Romney +3,2012
"PPP
                            (D)PPP
                            (D)",6/4 - 6/7,650 RV,3.8,45,42,Obama +3,2012
"PPP
                            (D)PPP
                            (D)",5/7 - 5/9,707 RV,3.7,46,44,Obama +2,2012
"PPP
                            (D)PPP
                            (D)",4/9 - 4/11,622 RV,3.9,44,45,Romney +1,2012
"CNN/Opinion
                            ResearchCNN/Opinion
                            Research",4/9 - 4/11,907 RV,3.5,53,45,Obama +8,2012
"PPP
                            (D)PPP
                            (D)",3/12 - 3/14,1403 RV,2.6,44,44,Tie ,2012
"PPP
                            (D)PPP
                            (D)",2/13 - 2/15,743 RV,3.6,45,43,Obama +2,2012
"PPP
                            (D)PPP
                            (D)",1/18 - 1/19,1151 RV,2.8,44,42,Obama +2,2012
"FOX
                            NewsFOX News",1/12 - 1/14,900 RV,3.0,47,35,Obama +12,2012
"PPP
                            (D)PPP
                            (D)",12/4 - 12/7,1253 RV,2.8,47,42,Obama +5,2012
"Rasmussen
                            ReportsRasmussen
                            Reports",11/24 - 11/24,800 LV,3.5,44,44,Tie ,2012
"PPP
                            (D)PPP
                            (D)",11/13 - 11/15,1066 RV,3.0,48,43,Obama +5,2012
"PPP
                            (D)PPP
                            (D)",10/16 - 10/19,766 RV,3.5,48,40,Obama +8,2012
"PPP
                            (D)PPP
                            (D)",9/18 - 9/21,621 RV,3.9,48,39,Obama +9,2012
"PPP
                            (D)PPP
                            (D)",8/14 - 8/17,909 RV,3.3,47,40,Obama +7,2012
"Rasmussen
                            ReportsRasmussen
                            Reports",7/16 - 7/17,1000 LV,3.0,45,45,Tie ,2012
"PPP
                            (D)PPP
                            (D)",7/15 - 7/16,577 RV,4.1,49,40,Obama +9,2012
"PPP
                            (D)PPP
                            (D)",6/12 - 6/16,638 RV,3.9,48,40,Obama +8,2012
"PPP
                            (D)PPP
                            (D)",5/14 - 5/18,1000 RV,3.1,53,35,Obama +18,2012
"PPP
                            (D)PPP
                            (D)",4/17 - 4/19,686 RV,3.7,50,39,Obama +11,2012
Poll,Date,Sample,MoE,"
Obama (D)
","
McCain (R)
",Spread,Election Year
Final Results,--,--,--,52.9,45.6,Obama +7.3,2008
RCP Average,10/29 - 11/3,--,--,52.1,44.5,Obama +7.6,2008
MaristMarist,11/3 - 11/3,804 LV,4.0,52,43,Obama +9,2008
"Battleground
                            (Lake)*Battleground
                            (Lake)*",11/2 - 11/3,800 LV,3.5,52,47,Obama +5,2008
"Battleground
                            (Tarrance)*Battleground
                            (Tarrance)*",11/2 - 11/3,800 LV,3.5,50,48,Obama +2,2008
"Rasmussen
                            ReportsRasmussen
                            Reports",11/1 - 11/3,3000 LV,2.0,52,46,Obama +6,2008
"Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby
",11/1 - 11/3,1201 LV,2.9,54,43,Obama +11,2008
IBD/TIPPIBD/TIPP,11/1 - 11/3,981 LV,3.2,52,44,Obama +8,2008
"FOX
                            NewsFOX
                            News",11/1 - 11/2,971 LV,3.0,50,43,Obama +7,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",11/1 - 11/2,1011 LV,3.1,51,43,Obama +8,2008
"GallupGallup
",10/31 - 11/2,2472 LV,2.0,55,44,Obama +11,2008
"Diageo/HotlineDiageo/Hotline
",10/31 - 11/2,887 LV,3.3,50,45,Obama +5,2008
"CBS
                            NewsCBS News",10/31 - 11/2,714 LV,--,51,42,Obama +9,2008
Ipsos/McClatchyIpsos/McClatchy,10/30 - 11/2,760 LV,3.6,53,46,Obama +7,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",10/30 - 11/2,2470 LV,2.5,53,44,Obama +9,2008
"CNN/Opinion
                            ResearchCNN/Opinion
                            Research",10/30 - 11/1,714 LV,3.5,53,46,Obama +7,2008
"Pew
                            ResearchPew
                            Research",10/29 - 11/1,2587 LV,2.0,52,46,Obama +6,2008
"GWU/BattlegroundGWU/Battleground
",10/29 - 11/2,800 LV,3.5,50,44,Obama +6,2008
"Gallup
                            (Traditional)*Gallup
                            (Traditional)*",10/30 - 11/1,2503 LV,2.0,51,43,Obama +8,2008
"Gallup
                            (Expanded)*Gallup
                            (Expanded)*",10/30 - 11/1,2475 LV,2.0,52,43,Obama +9,2008
MaristMarist,10/29 - 10/29,543 LV,4.5,50,43,Obama +7,2008
"FOX
                            NewsFOX News",10/28 - 10/29,924 LV,3.0,47,44,Obama +3,2008
"CBS News/NY
                            TimesCBS News/NY Times
",10/25 - 10/29,1005 LV,--,52,41,Obama +11,2008
"Ipsos/McClatchyIpsos/McClatchy
",10/23 - 10/27,831 LV,3.4,50,45,Obama +5,2008
"Rasmussen
                            ReportsRasmussen
                            Reports",10/24 - 10/26,3000 LV,2.0,51,46,Obama +5,2008
"Gallup
                            (Traditional)*Gallup
                            (Traditional)*",10/24 - 10/26,2446 LV,2.0,50,45,Obama +5,2008
"Gallup
                            (Expanded)*Gallup
                            (Expanded)*",10/24 - 10/26,2343 LV,2.0,53,43,Obama +10,2008
"Diageo/HotlineDiageo/Hotline
",10/24 - 10/26,879 LV,3.6,50,42,Obama +8,2008
"Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby
",10/24 - 10/26,1203 LV,2.9,50,45,Obama +5,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",10/23 - 10/26,1314 LV,2.5,52,45,Obama +7,2008
"Pew
                            ResearchPew
                            Research",10/23 - 10/26,1198 LV,3.5,53,38,Obama +15,2008
IBD/TIPPIBD/TIPP,10/22 - 10/26,824 LV,3.5,47,44,Obama +3,2008
"GWU/BattlegroundGWU/Battleground
",10/20 - 10/26,1000 LV,3.5,49,46,Obama +3,2008
"NewsweekNewsweek
",10/22 - 10/23,882 LV,4.0,53,41,Obama +12,2008
"Rasmussen
                            ReportsRasmussen
                            Reports",10/20 - 10/22,3000 LV,2.0,52,45,Obama +7,2008
"Gallup
                            (Traditional)*Gallup
                            (Traditional)*",10/20 - 10/22,2399 LV,2.0,50,46,Obama +4,2008
"Gallup
                            (Expanded)*Gallup
                            (Expanded)*",10/20 - 10/22,2349 LV,2.0,51,45,Obama +6,2008
"Diageo/HotlineDiageo/Hotline
",10/20 - 10/22,769 LV,3.5,48,43,Obama +5,2008
"Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby
",10/20 - 10/22,1206 LV,2.9,52,40,Obama +12,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",10/19 - 10/22,1335 LV,2.5,54,43,Obama +11,2008
IBD/TIPPIBD/TIPP,10/18 - 10/22,1060 LV,3.5,45,44,Obama +1,2008
"GWU/BattlegroundGWU/Battleground
",10/16 - 10/22,1000 LV,3.5,49,45,Obama +4,2008
"FOX
                            NewsFOX News",10/20 - 10/21,936 LV,3.0,49,40,Obama +9,2008
"CBS
                            News/NY TimesCBS
                            News/NY Times",10/19 - 10/22,771 LV,--,52,39,Obama +13,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",10/17 - 10/20,1159 RV,2.9,52,42,Obama +10,2008
"Associated
                            Press/GfKAssociated
                            Press/GfK",10/16 - 10/20,800 LV,3.5,44,43,Obama +1,2008
Ipsos/McClatchyIpsos/McClatchy,10/16 - 10/20,773 LV,3.5,50,42,Obama +8,2008
"CNN/Opinion
                            ResearchCNN/Opinion
                            Research",10/17 - 10/19,764 LV,3.5,51,46,Obama +5,2008
"Pew
                            ResearchPew Research
",10/16 - 10/19,2382 LV,2.5,53,39,Obama +14,2008
"Rasmussen
                            ReportsRasmussen
                            Reports",10/16 - 10/18,3000 LV,2.0,51,45,Obama +6,2008
"Gallup
                            (Traditional)*Gallup
                            (Traditional)*",10/16 - 10/18,2590 LV,2.0,49,46,Obama +3,2008
"Gallup
                            (Expanded)*Gallup
                            (Expanded)*",10/16 - 10/18,2277 LV,2.0,51,44,Obama +7,2008
"Diageo/HotlineDiageo/Hotline
",10/16 - 10/18,785 LV,3.5,48,41,Obama +7,2008
"Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby
",10/16 - 10/18,1211 LV,2.9,48,45,Obama +3,2008
"Democracy
                            Corps (D)Democracy
                            Corps (D)",10/15 - 10/19,1000 LV,--,50,46,Obama +4,2008
"GWU/BattlegroundGWU/Battleground
",10/13 - 10/19,1000 LV,3.1,49,45,Obama +4,2008
"F&M/Hearst-ArgyleF&M/Hearst-Argyle
",10/13 - 10/19,LV,3.5,50,45,Obama +5,2008
IBD/TIPPIBD/TIPP,10/14 - 10/18,1072 LV,3.0,47,42,Obama +5,2008
"Rasmussen
                            ReportsRasmussen
                            Reports",10/11 - 10/13,3000 LV,2.0,50,45,Obama +5,2008
"Diageo/HotlineDiageo/Hotline
",10/11 - 10/13,829 LV,3.4,48,42,Obama +6,2008
"Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby
",10/11 - 10/13,1208 LV,2.9,49,43,Obama +6,2008
"Gallup
                            (Traditional)*Gallup
                            (Traditional)*",10/11 - 10/13,2140 LV,2.0,51,45,Obama +6,2008
"Gallup
                            (Expanded)*Gallup
                            (Expanded)*",10/11 - 10/13,2289 LV,2.0,53,43,Obama +10,2008
"LA
                            Times/BloombergLA
                            Times/Bloomberg",10/10 - 10/13,1030 LV,3.0,50,41,Obama +9,2008
"CBS News/NY
                            TimesCBS News/NY
                            Times",10/10 - 10/13,699 LV,--,53,39,Obama +14,2008
"GWU/BattlegroundGWU/Battleground
",10/8 - 10/13,800 LV,3.5,53,40,Obama +13,2008
IBD/TIPPIBD/TIPP,10/7 - 10/13,884 LV,3.5,45,42,Obama +3,2008
"USA
                            Today/Gallup (Traditional)*USA
                            Today/Gallup (Traditional)*",10/10 - 10/12,761 LV,4.0,50,46,Obama +4,2008
"USA
                            Today/Gallup (Expanded)*USA
                            Today/Gallup (Expanded)*",10/10 - 10/12,1030 LV,3.0,52,45,Obama +7,2008
"Pew
                            ResearchPew Research
",10/9 - 10/12,1191 LV,--,49,42,Obama +7,2008
"Ipsos/McClatchyIpsos/McClatchy
",10/9 - 10/13,1036 RV,3.0,48,39,Obama +9,2008
"Democracy
                            Corps (D)Democracy
                            Corps (D)",10/8 - 10/12,1000 LV,--,51,42,Obama +9,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",10/8 - 10/11,766 LV,3.5,53,43,Obama +10,2008
"FOX
                            NewsFOX News",10/8 - 10/9,900 RV,3.0,46,39,Obama +7,2008
NewsweekNewsweek,10/8 - 10/9,1035 RV,3.7,52,41,Obama +11,2008
"Rasmussen
                            ReportsRasmussen
                            Reports",10/7 - 10/9,3000 LV,2.0,50,45,Obama +5,2008
"GallupGallup
",10/7 - 10/9,2784 RV,2.0,51,41,Obama +10,2008
"Hotline/FDHotline/FD
",10/7 - 10/9,838 LV,2.0,48,41,Obama +7,2008
"Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby
",10/6 - 10/9,1200 LV,4.2,48,43,Obama +5,2008
"GWU/BattlegroundGWU/Battleground
",10/6 - 10/9,800 LV,3.5,51,43,Obama +8,2008
TimeTime,10/3 - 10/6,1053 LV,--,50,44,Obama +6,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",10/4 - 10/5,658 RV,3.8,49,43,Obama +6,2008
"CBS NewsCBS
                            News",10/3 - 10/5,616 LV,--,48,45,Obama +3,2008
CNNCNN,10/3 - 10/5,694 LV,3.5,53,45,Obama +8,2008
"Ipsos/McClatchyIpsos/McClatchy
",10/2 - 10/6,858 RV,3.3,47,40,Obama +7,2008
"Democracy
                            Corps (D)Democracy
                            Corps (D)",10/1 - 10/5,1000 LV,--,49,46,Obama +3,2008
MaristMarist,9/28 - 9/30,943 LV,--,49,44,Obama +5,2008
"CBS NewsCBS
                            News",9/27 - 9/30,769 LV,--,50,41,Obama +9,2008
"Associated
                            Press/GfKAssociated
                            Press/GfK",9/27 - 9/30,808 LV,3.4,48,41,Obama +7,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",9/27 - 9/29,916 LV,3.0,50,46,Obama +4,2008
"Pew ResearchPew
                            Research",9/27 - 9/29,1181 LV,4.0,49,43,Obama +6,2008
"Ipsos/McClatchyIpsos/McClatchy
",9/26 - 9/29,1007 RV,3.1,48,45,Obama +3,2008
TimeTime,9/26 - 9/29,1133 LV,--,50,43,Obama +7,2008
"Gallup
                            TrackingGallup
                            Tracking",9/24 - 9/26,2759 RV,2.0,49,44,Obama +5,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",9/24 - 9/26,3000 LV,2.0,50,44,Obama +6,2008
"Hotline/FD
                            TrackingHotline/FD
                            Tracking",9/24 - 9/26,914 RV,3.3,48,43,Obama +5,2008
"GWU/BattlegroundGWU/Battleground
",9/21 - 9/25,1000 LV,3.3,46,48,McCain +2,2008
"CBS News/NY
                            TimesCBS News/NY Times
",9/21 - 9/24,LV,4.0,48,43,Obama +5,2008
FOX NewsFOX News,9/22 - 9/23,900 RV,3.0,45,39,Obama +6,2008
MaristMarist,9/22 - 9/23,689 LV,4.0,49,44,Obama +5,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",9/19 - 9/22,1085 RV,3.0,48,46,Obama +2,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",9/19 - 9/22,780 LV,3.5,52,43,Obama +9,2008
"LA
                            Times/BloombergLA
                            Times/Bloomberg",9/19 - 9/22,838 LV,--,49,45,Obama +4,2008
"Ipsos/McClatchyIpsos/McClatchy
",9/18 - 9/22,923 RV,3.2,44,43,Obama +1,2008
"CNN/Opinion
                            ResearchCNN/Opinion
                            Research",9/19 - 9/21,697 LV,3.0,51,47,Obama +4,2008
F&M/Hearst-ArgyleF&M/Hearst-Argyle,9/15 - 9/21,1138 LV,3.0,45,47,McCain +2,2008
"Gallup
                            TrackingGallup
                            Tracking",9/15 - 9/17,2815 RV,2.0,48,44,Obama +4,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",9/15 - 9/17,3000 LV,2.0,48,48,Tie ,2008
"Hotline/FD
                            TrackingHotline/FD
                            Tracking",9/15 - 9/17,912 RV,3.2,46,42,Obama +4,2008
"GWU/BattlegroundGWU/Battleground
",9/11 - 9/18,800 LV,3.0,47,47,Tie ,2008
"CBS News/NY
                            TimesCBS News/NY Times
",9/12 - 9/16,LV,3.0,49,44,Obama +5,2008
"QuinnipiacQuinnipiac
",9/11 - 9/16,987 LV,3.1,49,45,Obama +4,2008
"Pew ResearchPew
                            Research",9/9 - 9/14,2307 LV,--,46,46,Tie ,2008
"Reuters/ZogbyReuters/Zogby
",9/11 - 9/13,1008 LV,3.1,47,45,Obama +2,2008
"NewsweekNewsweek
",9/10 - 9/11,1038 RV,3.8,46,46,Tie ,2008
"GWU/BattlegroundGWU/Battleground
",9/7 - 9/11,1000 LV,3.1,44,48,McCain +4,2008
"Associated
                            Press/GfKAssociated
                            Press/GfK",9/5 - 9/10,812 LV,--,44,48,McCain +4,2008
"FOX
                            NewsFOX News",9/8 - 9/9,900 RV,3.0,42,45,McCain +3,2008
"Gallup
                            TrackingGallup
                            Tracking",9/7 - 9/9,2714 RV,2.0,43,48,McCain +5,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",9/7 - 9/9,3000 LV,2.0,48,47,Obama +1,2008
"Hotline/FD
                            TrackingHotline/FD
                            Tracking",9/7 - 9/9,902 RV,3.2,45,45,Tie ,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",9/6 - 9/8,860 RV,3.3,46,45,Obama +1,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",9/5 - 9/7,LV,3.0,47,49,McCain +2,2008
"USA
                            Today/GallupUSA
                            Today/Gallup",9/5 - 9/7,823 LV,4.0,44,54,McCain +10,2008
"CBS
                            News*CBS
                            News*",9/5 - 9/7,655 RV,4.0,44,46,McCain +2,2008
"CNN/OpinionResearchCNN/OpinionResearch
",9/5 - 9/7,942 RV,3.0,48,48,Tie ,2008
"IBD/TIPPIBD/TIPP
",9/2 - 9/7,868 RV,3.3,45,40,Obama +5,2008
"CBS
                            NewsCBS
                            News",9/1 - 9/3,734 RV,3.0,42,42,Tie ,2008
"Gallup
                            TrackingGallup
                            Tracking",8/30 - 9/1,2772 RV,2.0,50,42,Obama +8,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",8/30 - 9/1,3000 LV,2.0,51,45,Obama +6,2008
"USAT/Gallup
                            Tracking*USAT/Gallup
                            Tracking*",8/30 - 8/31,1835 LV,3.0,50,43,Obama +7,2008
"CNNCNN
",8/29 - 8/31,927 RV,3.0,49,48,Obama +1,2008
"Hotline/FDHotline/FD
",8/29 - 8/31,805 RV,3.5,48,39,Obama +9,2008
"CBS
                            NewsCBS News",8/29 - 8/31,781 RV,4.0,48,40,Obama +8,2008
"Gallup
                            TrackingGallup
                            Tracking",8/23 - 8/25,2784 RV,2.0,44,46,McCain +2,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",8/23 - 8/25,3000 LV,3.0,46,46,Tie ,2008
CNNCNN,8/23 - 8/24,909 RV,3.5,47,47,Tie ,2008
"Hotline/FDHotline/FD
",8/18 - 8/24,1022 RV,3.0,44,40,Obama +4,2008
"USA
                            Today/GallupUSA
                            Today/Gallup",8/21 - 8/23,765 LV,4.0,48,45,Obama +3,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",8/19 - 8/22,LV,--,49,45,Obama +4,2008
"FOX
                            NewsFOX News",8/19 - 8/20,900 RV,3.0,42,39,Obama +3,2008
"CBS
                            News/NY TimesCBS
                            News/NY Times",8/15 - 8/19,869 RV,3.0,45,42,Obama +3,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",8/15 - 8/18,1005 RV,3.1,45,42,Obama +3,2008
"LA
                            Times/BloombergLA
                            Times/Bloomberg",8/15 - 8/18,1248 RV,--,45,43,Obama +2,2008
"Gallup
                            TrackingGallup
                            Tracking",8/15 - 8/17,2660 RV,2.0,46,43,Obama +3,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",8/15 - 8/17,3000 LV,2.0,47,46,Obama +1,2008
"Reuters/ZogbyReuters/Zogby
",8/14 - 8/16,1089 LV,3.0,41,46,McCain +5,2008
"QuinnipiacQuinnipiac
",8/12 - 8/17,1547 LV,2.5,47,42,Obama +5,2008
BattlegroundBattleground,8/10 - 8/14,1000 LV,3.1,46,47,McCain +1,2008
IBD/TIPPIBD/TIPP,8/4 - 8/9,856 RV,--,43,38,Obama +5,2008
"Pew
                            ResearchPew
                            Research",7/31 - 8/10,2414 RV,3.0,46,43,Obama +3,2008
"CBS NewsCBS
                            News",7/31 - 8/5,906 RV,--,45,39,Obama +6,2008
"Gallup
                            TrackingGallup
                            Tracking",8/1 - 8/3,2659 RV,--,46,43,Obama +3,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",8/1 - 8/3,3000 LV,2.0,46,47,McCain +1,2008
TimeTime,7/31 - 8/4,808 LV,3.5,46,41,Obama +5,2008
"AP-IpsosAP-Ipsos
",7/31 - 8/4,833 RV,--,48,42,Obama +6,2008
CNNCNN,7/27 - 7/29,914 RV,3.0,51,44,Obama +7,2008
"USA
                            Today/GallupUSA
                            Today/Gallup",7/25 - 7/27,791 LV,4.0,45,49,McCain +4,2008
"Pew
                            ResearchPew
                            Research",7/23 - 7/27,1241 RV,--,47,42,Obama +5,2008
"Democracy
                            Corps (D)Democracy
                            Corps (D)",7/21 - 7/24,1004 LV,--,50,45,Obama +5,2008
"FOX NewsFOX
                            News",7/22 - 7/23,900 RV,3.0,41,40,Obama +1,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",7/18 - 7/21,1003 RV,--,47,41,Obama +6,2008
"Gallup
                            TrackingGallup
                            Tracking",7/13 - 7/15,2638 RV,2.0,47,44,Obama +3,2008
"Rasmussen
                            TrackingRasmussen
                            Tracking",7/13 - 7/15,3000 LV,2.0,48,45,Obama +3,2008
"CBS
                            News/NY TimesCBS
                            News/NY Times",7/7 - 7/14,1462 RV,3.0,45,39,Obama +6,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",7/10 - 7/13,LV,--,49,46,Obama +3,2008
"Reuters/ZogbyReuters/Zogby
",7/9 - 7/13,1039 LV,3.1,47,40,Obama +7,2008
"QuinnipiacQuinnipiac
",7/8 - 7/13,1725 LV,2.4,50,41,Obama +9,2008
"IBD/TIPPIBD/TIPP
",7/7 - 7/11,854 RV,--,40,37,Obama +3,2008
NewsweekNewsweek,7/9 - 7/10,1037 RV,3.6,44,41,Obama +3,2008
"GallupGallup
",6/30 - 7/2,2641 RV,2.0,47,43,Obama +4,2008
"RasmussenRasmussen
",6/29 - 7/1,3000 LV,2.0,49,44,Obama +5,2008
"CNNCNN
",6/26 - 6/29,906 RV,3.5,50,45,Obama +5,2008
"McLaughlin
                            (R)McLaughlin
                            (R)",6/26 - 6/29,1000 LV,--,46,38,Obama +8,2008
"Pew
                            ResearchPew
                            Research",6/18 - 6/29,1574 RV,--,48,40,Obama +8,2008
"Democracy
                            Corps (D)Democracy
                            Corps (D)",6/22 - 6/25,2000 LV,--,49,45,Obama +4,2008
TimeTime,6/19 - 6/25,805 RV,3.5,47,43,Obama +4,2008
"LA
                            Times/BloombergLA
                            Times/Bloomberg",6/19 - 6/23,1115 RV,--,49,37,Obama +12,2008
"F&M/Hearst-ArgyleF&M/Hearst-Argyle
",6/16 - 6/22,1501 RV,2.5,42,36,Obama +6,2008
NewsweekNewsweek,6/18 - 6/19,896 RV,4.0,51,36,Obama +15,2008
"FOX
                            NewsFOX News
",6/17 - 6/18,900 RV,--,45,41,Obama +4,2008
"USA
                            Today/GallupUSA
                            Today/Gallup",6/15 - 6/19,1310 LV,--,50,44,Obama +6,2008
"ABC
                            News/Wash PostABC
                            News/Wash Post",6/12 - 6/15,RV,3.0,49,45,Obama +4,2008
"Cook/RT
                            StrategiesCook/RT
                            Strategies",6/12 - 6/15,880 RV,3.3,44,40,Obama +4,2008
"Reuters/ZogbyReuters/Zogby
",6/12 - 6/14,1113 LV,3.0,47,42,Obama +5,2008
"IpsosIpsos
",6/5 - 6/11,LV,--,50,43,Obama +7,2008
"RasmussenRasmussen
",6/8 - 6/10,3000 LV,2.0,49,44,Obama +5,2008
"GallupGallup
",6/7 - 6/9,2633 RV,2.0,48,41,Obama +7,2008
"NBC
                            News/Wall St. JrnlNBC
                            News/Wall St. Jrnl",6/6 - 6/9,1000 RV,3.1,47,41,Obama +6,2008
"Hotline/FDHotline/FD
",6/5 - 6/8,806 RV,3.5,44,42,Obama +2,2008
IBD/TIPPIBD/TIPP,6/2 - 6/8,916 RV,--,43,40,Obama +3,2008
CNNCNN,6/4 - 6/5,921 RV,--,49,46,Obama +3,2008
"CBS
                            NewsCBS
                            News",5/30 - 6/3,930 RV,--,48,42,Obama +6,2008
"USA
                            Today/GallupUSA
                            Today/Gallup",5/30 - 6/1,803 RV,--,47,44,Obama +3,2008
"Cook/RT
                            StrategiesCook/RT
                            Strategies",5/29 - 5/31,802 RV,--,44,43,Obama +1,2008
"Pew
                            ResearchPew
                            Research",5/21 - 5/25,1242 RV,--,47,44,Obama +3,2008
NewsweekNewsweek,5/21 - 5/22,1205 RV,--,46,46,Tie ,2008
"Reuters/ZogbyReuters/Zogby
",5/15 - 5/18,1076 LV,--,48,40,Obama +8,2008
"IBD/TIPPIBD/TIPP
",5/12 - 5/18,953 A,3.2,48,37,Obama +11,2008
"RasmussenRasmussen
",5/13 - 5/16,3000 LV,2.0,44,45,McCain +1,2008
"GallupGallup
",5/12 - 5/16,4385 RV,2.0,44,47,McCain +3,2008
"Democracy
                            Corps (D)Democracy
                            Corps (D)",5/13 - 5/15,1014 LV,--,48,46,Obama +2,2008
"BattlegroundBattleground
",5/11 - 5/14,1018 LV,--,49,47,Obama +2,2008
